"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.627598580E-1,1.862180233E-2,4.471758008E-2,-2.264022827E-3,4.849287875E-2
7.677533470E-1,5.336284637E-3,1.434531808E-2,2.858352661E-2,3.242348035E-2
7.727468370E-1,-2.467703819E-2,1.469725370E-2,6.869316101E-2,7.445613373E-2
7.777403260E-1,-3.796954453E-2,2.202039957E-2,6.334304810E-2,7.706442792E-2
7.829025140E-1,-2.510325611E-2,1.688253880E-2,-1.796436310E-2,3.518397256E-2
7.878960030E-1,2.997694910E-2,3.766912222E-2,-6.056594849E-2,7.736804484E-2
7.928894930E-1,7.944723964E-2,1.081213355E-2,-5.291938782E-2,9.606886970E-2
7.978829830E-1,7.118983567E-2,2.693226933E-2,-4.532814026E-2,8.858882623E-2
8.028764720E-1,6.052392721E-2,4.988822341E-2,-2.591514587E-2,8.260493560E-2
8.078699620E-1,2.608981729E-2,3.707015514E-2,-1.616573334E-2,4.812697687E-2
8.130392850E-1,1.103517413E-2,-1.580506563E-3,-1.125526428E-2,1.584152907E-2
8.180327740E-1,3.212068975E-2,-2.786508203E-2,-1.115131378E-2,4.396081557E-2
8.230262640E-1,1.068277657E-2,-1.096296310E-2,-5.620002747E-2,5.824732923E-2
8.280197530E-1,4.141762853E-3,-7.938057184E-3,-7.476902008E-2,7.530320920E-2
8.330132430E-1,2.182240784E-2,-2.044707537E-3,-5.520057678E-2,5.939277725E-2
8.380067330E-1,-1.703876257E-2,-1.959276199E-2,1.169013977E-2,2.847551791E-2
8.431844410E-1,-2.652934194E-2,-2.220183611E-2,4.353523254E-3,3.486661261E-2
8.481779300E-1,-1.645262539E-2,-7.916778326E-3,8.937835693E-3,2.032853089E-2
8.531714200E-1,1.063537598E-2,1.368501782E-2,-1.029014587E-2,2.015633987E-2
8.581649100E-1,2.125740051E-3,6.649851799E-3,1.102161407E-2,1.304665768E-2
8.631583990E-1,-1.824246347E-2,-4.974037409E-3,5.115890503E-2,5.454137957E-2
8.681518890E-1,-3.606399894E-2,-1.918739080E-2,8.147144318E-2,9.113925630E-2
8.733096490E-1,-5.405345559E-2,-2.175195515E-2,9.729576111E-2,1.134080630E-1
8.783031390E-1,-9.637123346E-2,-2.714487910E-2,1.130189896E-1,1.509885794E-1
8.832966280E-1,-1.388546228E-1,-3.775943816E-2,1.215095520E-1,1.883373375E-1
8.882901180E-1,-1.196894273E-1,-3.227359056E-2,1.038274765E-1,1.617012323E-1
8.932836080E-1,-6.345088780E-2,-2.481973171E-2,5.781364441E-2,8.935575933E-2
8.982770970E-1,-1.056939363E-2,-5.915552378E-3,7.159137726E-2,7.260875388E-2
9.034349620E-1,3.907884657E-2,-9.098678827E-3,1.066579819E-1,1.139555497E-1
9.084284510E-1,4.293562472E-2,-3.376749158E-2,9.155464172E-2,1.066112742E-1
9.134219410E-1,1.123209298E-2,-4.883328080E-2,8.845615387E-2,1.016628761E-1
9.184154300E-1,-5.853340030E-3,-3.789919615E-2,6.875896454E-2,7.872995531E-2
9.234089200E-1,-2.713640034E-2,-6.025989354E-2,1.595878601E-2,6.798765949E-2
9.284024100E-1,-5.717802048E-2,-6.316903234E-2,-5.538940430E-3,8.538344414E-2
9.335653260E-1,-6.995561719E-2,-5.604402721E-2,-3.875637054E-2,9.765642641E-2
9.385588160E-1,-1.060585603E-1,-3.909239173E-2,-7.884120941E-2,1.378135320E-1
9.435523050E-1,-7.503819466E-2,-1.220870018E-2,-1.542463303E-1,1.719642795E-1
9.485457950E-1,-1.809389889E-2,7.148981094E-4,-1.411437988E-1,1.423006402E-1
9.535392850E-1,1.240551472E-2,2.798664570E-2,-8.777523041E-2,9.296042279E-2
9.585327740E-1,4.542827606E-3,2.869516611E-3,-3.722667694E-2,3.761245650E-2
9.637022010E-1,8.467629552E-3,2.319663763E-2,2.002906799E-2,3.179541338E-2
9.686956910E-1,-2.130958438E-2,9.530901909E-3,4.119777679E-2,4.735180345E-2
9.736891800E-1,-4.882089794E-2,-2.349361777E-2,6.933593750E-2,8.799376330E-2
9.786826700E-1,-7.197796553E-2,-1.632009447E-2,7.113361359E-2,1.025044584E-1
9.836761600E-1,-8.100053668E-2,-4.504522681E-2,7.530403137E-2,1.194188283E-1
9.886696490E-1,-9.263657779E-2,-5.741739273E-2,8.183479309E-2,1.362909604E-1
9.938369930E-1,-1.235740483E-1,-6.539079547E-2,6.695175171E-2,1.550130272E-1
9.988304830E-1,-9.964726865E-2,-6.643188000E-2,1.894283295E-2,1.212501701E-1
1.003823972E0,-8.542770892E-2,-4.618392885E-2,-3.341484070E-2,1.027005371E-1
1.008817462E0,-5.712796748E-2,-3.570818901E-2,-8.057975769E-2,1.050322654E-1
1.013810951E0,-5.310088396E-3,-1.511543989E-3,-1.653633118E-1,1.654554523E-1
1.018804441E0,4.143124819E-2,4.474154115E-2,-1.900644302E-1,1.996067170E-1
1.023968972E0,1.070299447E-1,6.507462263E-2,-1.908264160E-1,2.282648388E-1
1.028962462E0,1.106012911E-1,5.964267254E-2,-1.963529587E-1,2.331188074E-1
1.033955951E0,1.073293090E-1,7.351666689E-2,-1.400842667E-1,1.911750053E-1
1.038949441E0,6.649670005E-2,3.542137146E-2,-7.955169678E-2,1.095671353E-1
1.043942930E0,4.056471586E-2,1.453280449E-2,-5.041980743E-2,6.632386871E-2
1.048936420E0,2.920536697E-2,-1.093280315E-2,1.172637939E-2,3.331647668E-2
1.054099493E0,-3.145918250E-3,-3.858631849E-2,8.760070801E-2,9.577413440E-2
1.059092983E0,-3.299169242E-2,-5.214390159E-2,1.296005249E-1,1.435400094E-1
1.064086472E0,-1.064264774E-2,-4.699350893E-2,1.190061569E-1,1.283905028E-1
1.069079962E0,6.512120366E-3,-5.180275440E-2,1.346473694E-1,1.444155364E-1
1.074073451E0,-1.241640747E-2,-3.075328469E-2,1.216659546E-1,1.261052584E-1
1.079066941E0,-2.204981446E-2,-2.444072068E-2,1.064329147E-1,1.114069499E-1
1.084237253E0,-1.546286047E-2,-3.274068236E-2,6.046390533E-2,7.047649384E-2
1.089230743E0,-1.933127642E-3,-3.653642535E-2,1.963996887E-2,4.152560339E-2
1.094224233E0,-1.474756002E-2,1.195925474E-2,2.913475037E-3,1.920944136E-2
1.099217722E0,-2.983509004E-2,-1.126399636E-2,-4.692840576E-2,5.673874760E-2
1.104211212E0,-1.983970404E-3,-1.508355141E-2,-6.785583496E-2,6.954037676E-2
1.109204701E0,-3.923922777E-4,1.226934791E-2,-1.503810883E-1,1.508812864E-1
1.114367774E0,2.512961626E-2,2.082666755E-2,-2.156057358E-1,2.180621035E-1
1.119361264E0,-2.752004564E-2,1.350939274E-3,-2.232990265E-1,2.249925181E-1
1.124354753E0,-8.259579539E-3,1.565793157E-2,-1.786813736E-1,1.795561883E-1
1.129348243E0,-3.171710670E-2,6.455123425E-3,-1.629562378E-1,1.661396368E-1
1.134341733E0,-2.874645591E-2,-3.551426530E-2,-1.354990005E-1,1.429951080E-1
1.139335222E0,-1.134221256E-2,-2.951890230E-2,-1.534118652E-1,1.566371979E-1
1.144501472E0,2.958704531E-2,1.969766617E-2,-1.593103409E-1,1.632273752E-1
