"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.370002740E-1,1.238333434E-2,1.464695437E-3,-2.130466048E-3,1.265034338E-2
4.395114200E-1,8.122402243E-3,-6.657706108E-4,-2.130466048E-3,8.423511993E-3
4.420226180E-1,7.057168987E-3,-7.057168987E-3,1.065233024E-3,1.003703092E-2
4.445337640E-1,4.926702939E-3,-5.991935730E-3,-1.065233024E-3,7.830096873E-3
4.470449610E-1,7.057168987E-3,-3.861469682E-3,1.065233024E-3,8.114758383E-3
4.495561070E-1,-3.994623839E-4,-8.122402243E-3,-3.195699072E-3,8.737590111E-3
4.520673050E-1,-2.529928461E-3,-4.926702939E-3,-5.326164886E-3,7.683812352E-3
4.545797010E-1,6.657706108E-4,-3.861469682E-3,-3.195699072E-3,5.056351567E-3
4.570908470E-1,-2.529928461E-3,-3.861469682E-3,-1.065233024E-3,4.737742872E-3
4.596020450E-1,-5.725627299E-3,-6.657706108E-4,-3.195699072E-3,6.590792899E-3
4.621132430E-1,-4.660394508E-3,-2.796236658E-3,-1.065233024E-3,5.538315432E-3
4.646243890E-1,-8.921326138E-3,-5.991935730E-3,-1.065233024E-3,1.079944791E-2
4.671355340E-1,-5.725627299E-3,-7.057168987E-3,-3.195699072E-3,9.633220367E-3
4.696467320E-1,-3.595161485E-3,-1.238333434E-2,-2.130466048E-3,1.306946981E-2
4.721579300E-1,-3.595161485E-3,-1.025286783E-2,-2.130466048E-3,1.107182778E-2
4.746690240E-1,-1.464695437E-3,-1.131810062E-2,0.000000000E0,1.141248151E-2
4.771802220E-1,-1.464695437E-3,-1.344856713E-2,-2.130466048E-3,1.369482297E-2
4.796913680E-1,-1.464695437E-3,-1.238333434E-2,-1.065233024E-3,1.251507185E-2
4.822025660E-1,2.796236658E-3,-1.238333434E-2,-3.195699072E-3,1.309115737E-2
4.847335550E-1,4.926702939E-3,-1.131810062E-2,-1.065233024E-3,1.238977501E-2
4.872447530E-1,9.187635034E-3,-1.131810062E-2,-4.260932095E-3,1.518774445E-2
4.897558470E-1,1.025286783E-2,-1.025286783E-2,-4.260932095E-3,1.511284684E-2
4.922670970E-1,9.187635034E-3,-1.238333434E-2,-2.130466048E-3,1.556594014E-2
4.947781910E-1,9.187635034E-3,-1.344856713E-2,-3.195699072E-3,1.659786396E-2
4.972893890E-1,1.877473295E-2,-1.131810062E-2,-2.130466048E-3,2.202564152E-2
4.998005340E-1,1.983996481E-2,-1.025286783E-2,1.065233024E-3,2.235800133E-2
5.023117320E-1,1.770949923E-2,-8.122402243E-3,-3.195699072E-3,1.974366414E-2
5.048228780E-1,1.983996481E-2,-7.057168987E-3,-5.326164886E-3,2.172086255E-2
5.073340760E-1,1.664426550E-2,-8.122402243E-3,-4.260932095E-3,1.900422413E-2
5.098452220E-1,1.983996481E-2,-8.122402243E-3,-2.130466048E-3,2.154382759E-2
5.123564200E-1,1.877473295E-2,-4.926702939E-3,-3.195699072E-3,1.967169265E-2
5.148478780E-1,1.877473295E-2,-3.861469682E-3,-1.065233024E-3,1.919729842E-2
5.173590240E-1,1.770949923E-2,-4.926702939E-3,-4.260932095E-3,1.886940134E-2
5.198701700E-1,1.664426550E-2,-2.796236658E-3,-2.130466048E-3,1.701144906E-2
5.223813680E-1,1.770949923E-2,3.994623839E-4,-3.195699072E-3,1.799995627E-2
5.248925660E-1,1.344856713E-2,3.994623839E-4,-3.195699072E-3,1.382881125E-2
5.274037110E-1,1.664426550E-2,-2.796236658E-3,-2.130466048E-3,1.701144906E-2
5.299148570E-1,1.451379992E-2,3.994623839E-4,-1.065233024E-3,1.455831995E-2
5.324260550E-1,1.664426550E-2,1.464695437E-3,-3.195699072E-3,1.701144907E-2
5.349372530E-1,1.131810062E-2,1.464695437E-3,-1.065233024E-3,1.146208775E-2
5.374483990E-1,5.991935730E-3,3.994623839E-4,1.065233024E-3,6.098982324E-3
5.399595450E-1,5.991935730E-3,-2.796236658E-3,1.065233024E-3,6.697533474E-3
5.424707430E-1,7.057168987E-3,-2.796236658E-3,0.000000000E0,7.590953402E-3
5.449675140E-1,3.861469682E-3,-5.991935730E-3,1.065233024E-3,7.207562923E-3
5.474786590E-1,-3.994623839E-4,-3.861469682E-3,2.130466048E-3,4.428250657E-3
5.499898050E-1,-3.994623839E-4,3.994623839E-4,1.065233024E-3,1.205761912E-3
5.525009510E-1,-2.529928461E-3,-4.926702939E-3,2.130466048E-3,5.933955295E-3
5.550120970E-1,-6.790860556E-3,-5.991935730E-3,2.130466048E-3,9.303653393E-3
5.575232430E-1,-4.660394508E-3,-4.926702939E-3,1.065233024E-3,6.864867094E-3
5.600343890E-1,-6.790860556E-3,-9.187635034E-3,1.065233024E-3,1.147445624E-2
5.625455340E-1,-1.211702544E-2,-5.991935730E-3,0.000000000E0,1.351760331E-2
5.650566800E-1,-1.211702544E-2,-3.861469682E-3,2.130466048E-3,1.289465545E-2
5.675678260E-1,-9.986559860E-3,-5.991935730E-3,0.000000000E0,1.164622993E-2
5.700789720E-1,-1.318225823E-2,-4.926702939E-3,2.130466048E-3,1.423317321E-2
5.725901180E-1,-1.318225823E-2,-3.861469682E-3,7.456631400E-3,1.562959475E-2
5.751042320E-1,-1.531272475E-2,-3.861469682E-3,3.195699072E-3,1.611219972E-2
