"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.284798540E-1,-1.850842312E-2,1.464695437E-3,-4.260932095E-3,1.904895276E-2
4.309726660E-1,-2.489982173E-2,4.660394508E-3,-3.195699072E-3,2.553297655E-2
4.334654790E-1,-2.170412242E-2,2.529928461E-3,-1.065233024E-3,2.187702424E-2
4.359583430E-1,-2.383458801E-2,-6.657706108E-4,-3.195699072E-3,2.405708479E-2
4.384511560E-1,-2.276935615E-2,8.921326138E-3,-2.130466048E-3,2.454735271E-2
4.409439680E-1,-2.276935615E-2,9.986559860E-3,-2.130466048E-3,2.495423497E-2
4.434367810E-1,-1.850842312E-2,-6.657706108E-4,2.130466048E-3,1.864252833E-2
4.459296450E-1,-1.637795754E-2,-4.926702939E-3,2.130466048E-3,1.723510315E-2
4.484224580E-1,-1.744319126E-2,-1.557903271E-2,1.065233024E-3,2.341166169E-2
4.509152700E-1,-1.744319126E-2,-2.503297664E-2,-2.130466048E-3,3.058518802E-2
4.534080830E-1,-1.850842312E-2,-3.462007269E-2,-1.065233024E-3,3.927143849E-2
4.559009470E-1,-1.744319126E-2,-4.101147130E-2,-1.065233024E-3,4.457959647E-2
4.586154790E-1,-1.850842312E-2,-4.101147130E-2,0.000000000E0,4.499447193E-2
4.611082910E-1,-1.744319126E-2,-4.846810177E-2,1.065233024E-3,5.152238865E-2
4.636011040E-1,-1.531272475E-2,-5.805519968E-2,2.130466048E-3,6.007848729E-2
4.660939680E-1,-1.531272475E-2,-5.166380107E-2,2.130466048E-3,5.392742128E-2
4.685867810E-1,-1.424749196E-2,-4.527240247E-2,3.195699072E-3,4.756883375E-2
4.710795930E-1,-1.211702544E-2,-4.314193875E-2,1.065233024E-3,4.482392113E-2
4.735724060E-1,-6.790860556E-3,-4.207670316E-2,3.195699072E-3,4.274081455E-2
4.760652700E-1,-6.790860556E-3,-3.781577200E-2,2.130466048E-3,3.847969964E-2
4.785580830E-1,-2.529928461E-3,-1.983996481E-2,5.326164886E-3,2.069765141E-2
4.810508950E-1,-1.464695437E-3,-1.770949923E-2,6.391398143E-3,1.888442919E-2
4.835437080E-1,6.657706108E-4,-1.451379992E-2,7.456631400E-3,1.633079883E-2
4.860365720E-1,3.861469682E-3,-8.122402243E-3,7.456631400E-3,1.168271022E-2
4.887449580E-1,1.731003635E-3,-2.796236658E-3,6.391398143E-3,7.187856652E-3
4.912377700E-1,4.926702939E-3,-3.861469682E-3,8.521864191E-3,1.057381290E-2
4.937305830E-1,7.057168987E-3,-6.657706108E-4,1.171756350E-2,1.369482307E-2
4.962234470E-1,8.122402243E-3,-3.861469682E-3,9.587096982E-3,1.314521947E-2
4.987162600E-1,8.122402243E-3,3.595161485E-3,1.065232977E-2,1.386977772E-2
5.012090720E-1,9.187635034E-3,2.529928461E-3,1.065232977E-2,1.429284104E-2
5.037018850E-1,1.131810062E-2,-7.057168987E-3,8.521864191E-3,1.582798803E-2
5.061947490E-1,1.131810062E-2,-1.025286783E-2,1.171756350E-2,1.924894788E-2
5.086875620E-1,9.187635034E-3,-1.344856713E-2,1.171756350E-2,2.006434374E-2
5.111803740E-1,1.025286783E-2,-1.983996481E-2,1.278279629E-2,2.573218574E-2
5.136731870E-1,1.131810062E-2,-1.877473295E-2,1.597849466E-2,2.712751906E-2
5.161660520E-1,1.025286783E-2,-2.197043039E-2,1.704372838E-2,2.963629173E-2
5.188969370E-1,9.187635034E-3,-1.557903271E-2,1.597849466E-2,2.413361120E-2
5.213897490E-1,8.122402243E-3,-1.025286783E-2,1.171756350E-2,1.756120756E-2
5.238825620E-1,1.131810062E-2,-1.877473295E-2,1.384802908E-2,2.592986518E-2
5.263754270E-1,3.861469682E-3,-2.197043039E-2,1.171756350E-2,2.519746126E-2
5.288682390E-1,3.861469682E-3,-2.090519853E-2,1.171756350E-2,2.427425731E-2
5.313610520E-1,5.991935730E-3,-2.090519853E-2,9.587096982E-3,2.376642691E-2
5.338538640E-1,-3.994623839E-4,-2.197043039E-2,1.065232977E-2,2.441989990E-2
5.363467290E-1,-2.529928461E-3,-2.290250920E-2,9.587096982E-3,2.495672042E-2
5.388395410E-1,-7.856093347E-3,-1.877473295E-2,9.587096982E-3,2.249713823E-2
5.413323540E-1,-7.856093347E-3,-1.451379992E-2,7.456631400E-3,1.810994044E-2
5.438251660E-1,-8.921326138E-3,-1.451379992E-2,8.521864191E-3,1.904895319E-2
5.463180310E-1,-8.921326138E-3,-5.991935730E-3,7.456631400E-3,1.308031749E-2
5.490243330E-1,-1.105179265E-2,-6.657706108E-4,9.587096982E-3,1.464574340E-2
5.515208430E-1,-1.211702544E-2,-1.731003635E-3,1.065232977E-2,1.622623828E-2
5.540173540E-1,-1.531272475E-2,1.464695437E-3,9.587096982E-3,1.812559793E-2
5.565139160E-1,-1.531272475E-2,5.725627299E-3,1.171756350E-2,2.011376746E-2
5.590104270E-1,-1.424749196E-2,1.531272475E-2,8.521864191E-3,2.258523269E-2
5.615069370E-1,-1.637795754E-2,1.105179265E-2,7.456631400E-3,2.111826143E-2
5.640034470E-1,-1.744319126E-2,2.529928461E-3,8.521864191E-3,1.957773298E-2
5.664999580E-1,-2.063889056E-2,5.725627299E-3,6.391398143E-3,2.235165725E-2
5.689964680E-1,-2.689713426E-2,1.464695437E-3,2.130466048E-3,2.702110378E-2
5.714929790E-1,-2.796236612E-2,-1.731003635E-3,0.000000000E0,2.801589357E-2
5.739894890E-1,-2.489982173E-2,-1.731003635E-3,-1.065233024E-3,2.498263831E-2
5.764859990E-1,-2.489982173E-2,-7.057168987E-3,1.065233024E-3,2.590249945E-2
5.791473020E-1,-2.489982173E-2,3.994623839E-4,-3.195699072E-3,2.510723372E-2
5.816438120E-1,-2.596505545E-2,1.464695437E-3,-1.065233024E-3,2.602814167E-2
5.841403220E-1,-1.957365684E-2,-3.861469682E-3,-2.130466048E-3,2.006434339E-2
5.866368850E-1,-2.383458801E-2,1.464695437E-3,-2.130466048E-3,2.397439892E-2
5.891333950E-1,-2.170412242E-2,9.986559860E-3,-6.391398143E-3,2.473156441E-2
5.916299060E-1,-2.383458801E-2,1.105179265E-2,-4.260932095E-3,2.661550767E-2
5.941264160E-1,-2.383458801E-2,1.318225823E-2,-2.130466048E-3,2.732029288E-2
5.966229270E-1,-2.063889056E-2,1.637795754E-2,-5.326164886E-3,2.688064972E-2
5.991194370E-1,-1.744319126E-2,2.170412242E-2,-4.260932095E-3,2.816894378E-2
6.016159470E-1,-1.211702544E-2,2.276935615E-2,-4.260932095E-3,2.614233018E-2
6.041124580E-1,-1.637795754E-2,1.637795754E-2,-5.326164886E-3,2.376642629E-2
6.066089680E-1,-1.211702544E-2,9.986559860E-3,-4.260932095E-3,1.626988708E-2
6.092808430E-1,-1.211702544E-2,8.921326138E-3,-7.456631400E-3,1.679326405E-2
6.117773540E-1,-7.856093347E-3,1.464695437E-3,-5.326164886E-3,9.603726766E-3
6.142738640E-1,-1.105179265E-2,3.994623839E-4,-2.130466048E-3,1.126235218E-2
6.167704270E-1,-8.921326138E-3,3.595161485E-3,-4.260932095E-3,1.052001846E-2
6.192669370E-1,-2.529928461E-3,8.921326138E-3,-8.521864191E-3,1.259415608E-2
6.217634470E-1,-6.790860556E-3,7.856093347E-3,-7.456631400E-3,1.278418326E-2
6.242599580E-1,-3.595161485E-3,2.529928461E-3,-5.326164886E-3,6.906066646E-3
6.267564680E-1,-1.464695437E-3,3.994623839E-4,-7.456631400E-3,7.609615940E-3
6.292529790E-1,6.657706108E-4,-4.926702939E-3,-5.326164886E-3,7.285855115E-3
6.317494890E-1,1.731003635E-3,-2.796236658E-3,-3.195699072E-3,4.585608530E-3
6.342459990E-1,6.657706108E-4,-6.657706108E-4,-4.260932095E-3,4.363718980E-3
6.367425100E-1,3.861469682E-3,-4.926702939E-3,-6.391398143E-3,8.946134371E-3
6.394146450E-1,7.057168987E-3,5.725627299E-3,-4.260932095E-3,1.003703066E-2
6.419111560E-1,2.796236658E-3,9.986559860E-3,-7.456631400E-3,1.277308378E-2
6.444076660E-1,1.731003635E-3,7.856093347E-3,-3.195699072E-3,8.656042330E-3
6.469041770E-1,4.926702939E-3,1.424749196E-2,-8.521864191E-3,1.731720526E-2
6.494007390E-1,1.731003635E-3,1.744319126E-2,-8.521864191E-3,1.949059938E-2
6.518972490E-1,3.861469682E-3,1.850842312E-2,-1.065232977E-2,2.170126273E-2
6.543937600E-1,4.926702939E-3,2.383458801E-2,-8.521864191E-3,2.578724794E-2
6.568902700E-1,3.861469682E-3,2.809552103E-2,-4.260932095E-3,2.867794959E-2
6.593867810E-1,3.861469682E-3,3.661738336E-2,-8.521864191E-3,3.779372807E-2
6.618832910E-1,5.991935730E-3,4.194355011E-2,-5.326164886E-3,4.270284208E-2
6.643798020E-1,1.731003635E-3,3.448691964E-2,-4.260932095E-3,3.479223394E-2
6.668763120E-1,4.926702939E-3,3.235645220E-2,-8.521864191E-3,3.382062344E-2
6.695482390E-1,5.991935730E-3,3.129122034E-2,-2.130466048E-3,3.193090430E-2
6.720447490E-1,8.122402243E-3,3.022598661E-2,-3.195699072E-3,3.146102633E-2
6.745412600E-1,9.187635034E-3,2.809552103E-2,-2.130466048E-3,2.963629237E-2
6.770378220E-1,6.657706108E-4,2.383458801E-2,-3.195699072E-3,2.405708479E-2
6.795343330E-1,-3.994623839E-4,2.383458801E-2,-4.260932095E-3,2.421575309E-2
6.820308430E-1,-3.994623839E-4,1.850842312E-2,-3.195699072E-3,1.878653212E-2
6.845273540E-1,-3.994623839E-4,1.318225823E-2,-2.130466048E-3,1.335928097E-2
6.870238640E-1,-2.529928461E-3,8.921326138E-3,-6.391398143E-3,1.126235181E-2
6.895203740E-1,-3.595161485E-3,-6.657706108E-4,-8.521864191E-3,9.273111985E-3
6.920168850E-1,-5.725627299E-3,-1.731003635E-3,-5.326164886E-3,8.009195587E-3
6.945133950E-1,-4.660394508E-3,-2.796236658E-3,-4.260932095E-3,6.906066807E-3
6.970099060E-1,-3.595161485E-3,-2.796236658E-3,-5.326164886E-3,7.008006703E-3
