"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.411252038E0,-9.862363338E-3,-1.470529139E-1,2.170257568E-1,2.623394839E-1
1.416251257E0,-2.867992222E-2,-1.620184481E-1,2.531986237E-1,3.019636708E-1
1.421250476E0,-4.016830027E-2,-1.941568255E-1,2.653512955E-1,3.312426230E-1
1.426249747E0,-5.648179352E-2,-1.528963447E-1,2.441787720E-1,2.935826253E-1
1.431382924E0,-5.398298800E-2,-1.292084157E-1,2.018451691E-1,2.456632858E-1
1.436382142E0,-5.419050157E-2,-1.273694038E-1,1.218776703E-1,1.844281486E-1
1.441381413E0,-4.034690559E-2,-6.404131651E-2,9.010791779E-2,1.176800742E-1
1.446380632E0,-1.974762976E-2,-1.074439287E-2,-1.265621185E-2,2.579904180E-2
1.451379851E0,2.407950163E-2,5.408722162E-2,-6.942653656E-2,9.124304861E-2
1.456379122E0,3.415292501E-2,6.419682503E-2,-1.209955215E-1,1.411650483E-1
1.461517038E0,2.965107560E-2,1.196322441E-1,-1.745204926E-1,2.136550080E-1
1.466516257E0,2.999383211E-2,1.417355537E-1,-2.347488403E-1,2.758543369E-1
1.471515528E0,-1.721915603E-2,1.547687650E-1,-2.351217270E-1,2.820143550E-1
1.476514747E0,-4.270400107E-2,1.420246363E-1,-2.640247345E-1,3.028261703E-1
1.481513965E0,-4.431474209E-2,1.443071365E-1,-2.475881577E-1,2.899797266E-1
1.486513236E0,-6.522564590E-2,8.981543779E-2,-2.194185257E-1,2.458977169E-1
1.491658288E0,-3.160019219E-2,5.281603336E-2,-1.083555222E-1,1.246155075E-1
1.496657559E0,3.725327551E-2,1.364386082E-2,-1.958751678E-2,4.424513858E-2
1.501656830E0,2.254694700E-2,-3.258800507E-2,5.182361603E-2,6.523825620E-2
1.506656049E0,1.039615273E-2,-2.875751257E-2,1.012716293E-1,1.057876053E-1
1.511655215E0,-8.840948343E-3,-6.559717655E-2,1.123161316E-1,1.303689586E-1
1.516654538E0,7.856786251E-4,-7.625287771E-2,1.019001007E-1,1.272743068E-1
1.521831674E0,5.311885476E-2,-6.093358994E-2,1.058378220E-1,1.331771740E-1
1.526830892E0,6.496259570E-2,-4.363667965E-2,8.599376678E-2,1.162722090E-1
1.531830163E0,5.068874359E-2,-3.103280067E-2,1.114358902E-1,1.262946597E-1
1.536829382E0,4.872408509E-2,-5.184465647E-2,1.057806015E-1,1.274811379E-1
1.541828601E0,3.525337577E-2,-5.827867985E-2,5.978012085E-2,9.062487449E-2
